date,location_key,cumulative_hospitalized_patients
2020-01-23,HK,2.0
2020-01-24,HK,5.0
2020-01-26,HK,8.0
2020-01-29,HK,10.0
2020-01-30,HK,12.0
2020-01-31,HK,12.0
2020-02-01,HK,14.0
2020-02-04,HK,17.0
2020-02-05,HK,20.0
2020-02-06,HK,23.0
2020-02-07,HK,25.0
2020-02-09,HK,35.0
2020-02-10,HK,41.0
2020-02-11,HK,48.0
2020-02-12,HK,49.0
2020-02-13,HK,52.0
2020-02-14,HK,54.0
2020-02-16,HK,55.0
2020-02-17,HK,58.0
2020-02-18,HK,60.0
2020-02-19,HK,63.0
2020-02-20,HK,67.0
2020-02-22,HK,68.0
2020-02-23,HK,72.0
2020-02-24,HK,79.0
2020-02-25,HK,83.0
2020-02-26,HK,88.0
2020-02-27,HK,90.0
2020-02-28,HK,91.0
2020-02-29,HK,92.0
2020-03-01,HK,96.0
2020-03-02,HK,97.0
2020-03-04,HK,101.0
2020-03-06,HK,104.0
2020-03-07,HK,106.0
2020-03-08,HK,111.0
2020-03-09,HK,112.0
2020-03-10,HK,117.0
2020-03-11,HK,126.0
2020-03-12,HK,128.0
2020-03-13,HK,134.0
2020-03-14,HK,138.0
2020-03-15,HK,145.0
2020-03-16,HK,154.0
2020-03-17,HK,164.0
2020-03-18,HK,189.0
2020-03-19,HK,205.0
2020-03-20,HK,253.0
2020-03-21,HK,270.0
2020-03-22,HK,314.0
2020-03-23,HK,353.0
2020-03-24,HK,383.0
2020-03-25,HK,407.0
2020-03-26,HK,450.0
2020-03-27,HK,515.0
2020-03-28,HK,579.0
2020-03-29,HK,637.0
2020-03-30,HK,678.0
2020-03-31,HK,710.0
2020-04-01,HK,761.0
2020-04-02,HK,798.0
2020-04-03,HK,841.0
2020-04-04,HK,858.0
2020-04-05,HK,886.0
2020-04-06,HK,910.0
2020-04-07,HK,931.0
2020-04-08,HK,956.0
2020-04-09,HK,969.0
2020-04-10,HK,985.0
2020-04-11,HK,996.0
2020-04-12,HK,1000.0
2020-04-13,HK,1005.0
2020-04-14,HK,1008.0
