date,location_key,cumulative_hospitalized_patients
2020-01-13,US,0.0
2020-01-14,US,0.0
2020-01-15,US,0.0
2020-01-16,US,0.0
2020-01-17,US,0.0
2020-01-18,US,0.0
2020-01-19,US,0.0
2020-01-20,US,0.0
2020-01-21,US,0.0
2020-01-22,US,0.0
2020-01-23,US,0.0
2020-01-24,US,0.0
2020-01-25,US,0.0
2020-01-26,US,0.0
2020-01-27,US,0.0
2020-01-28,US,0.0
2020-01-29,US,0.0
2020-01-30,US,0.0
2020-01-31,US,0.0
2020-02-01,US,0.0
2020-02-02,US,0.0
2020-02-03,US,0.0
2020-02-04,US,0.0
2020-02-05,US,0.0
2020-02-06,US,0.0
2020-02-07,US,0.0
2020-02-08,US,0.0
2020-02-09,US,0.0
2020-02-10,US,0.0
2020-02-11,US,0.0
2020-02-12,US,0.0
2020-02-13,US,0.0
2020-02-14,US,0.0
2020-02-15,US,0.0
2020-02-16,US,0.0
2020-02-17,US,0.0
2020-02-18,US,0.0
2020-02-19,US,0.0
2020-02-20,US,0.0
2020-02-21,US,0.0
2020-02-22,US,0.0
2020-02-23,US,0.0
2020-02-24,US,0.0
2020-02-25,US,0.0
2020-02-26,US,0.0
2020-02-27,US,0.0
2020-02-28,US,0.0
2020-02-29,US,0.0
2020-03-01,US,0.0
2020-03-02,US,0.0
2020-03-03,US,0.0
2020-03-04,US,4.0
2020-03-05,US,5.0
2020-03-06,US,6.0
2020-03-07,US,6.0
2020-03-08,US,6.0
2020-03-09,US,9.0
2020-03-10,US,9.0
2020-03-11,US,12.0
2020-03-12,US,17.0
2020-03-13,US,23.0
2020-03-14,US,27.0
2020-03-15,US,37.0
2020-03-16,US,43.0
2020-03-17,US,76.0
2020-03-18,US,94.0
2020-03-19,US,128.0
2020-03-20,US,172.0
2020-03-21,US,488.0
2020-03-22,US,627.0
2020-03-23,US,817.0
2020-03-24,US,1078.0
2020-03-25,US,1951.0
2020-03-26,US,2606.0
2020-03-27,US,3383.0
2020-03-28,US,4065.0
2020-03-29,US,4624.0
2020-03-30,US,5208.0
2020-03-31,US,6700.0
2020-04-01,US,8002.0
2020-04-02,US,9322.0
2020-04-03,US,10511.0
2020-04-04,US,12243.0
2020-04-05,US,13374.0
2020-04-06,US,14257.0
2020-04-07,US,14627.0
2020-04-08,US,15959.0
2020-04-09,US,16924.0
2020-04-10,US,18923.0
2020-04-11,US,20131.0
2020-04-12,US,20825.0
2020-04-13,US,23129.0
2020-04-14,US,24595.0
2020-04-15,US,25771.0
2020-04-16,US,27032.0
2020-04-17,US,28321.0
2020-04-18,US,29780.0
2020-04-19,US,30514.0
2020-04-20,US,31401.0
2020-04-21,US,32832.0
2020-04-22,US,34423.0
2020-04-23,US,35832.0
2020-04-24,US,37030.0
2020-04-25,US,38264.0
2020-04-26,US,39373.0
2020-04-27,US,40556.0
2020-04-28,US,41809.0
2020-04-29,US,43674.0
2020-04-30,US,45099.0
2020-05-01,US,54154.0
2020-05-02,US,55430.0
2020-05-03,US,56457.0
2020-05-04,US,57609.0
2020-05-05,US,59008.0
2020-05-06,US,60513.0
2020-05-07,US,64066.0
2020-05-08,US,69763.0
2020-05-09,US,70891.0
2020-05-10,US,71456.0
2020-05-11,US,72395.0
2020-05-12,US,73587.0
2020-05-13,US,74860.0
2020-05-14,US,77571.0
2020-05-15,US,78553.0
2020-05-16,US,79936.0
2020-05-17,US,80702.0
2020-05-18,US,81505.0
2020-05-19,US,82791.0
2020-05-20,US,84244.0
2020-05-21,US,88618.0
2020-05-22,US,92369.0
2020-05-23,US,93499.0
2020-05-24,US,94286.0
2020-05-25,US,94955.0
2020-05-26,US,112110.0
2020-05-27,US,113495.0
2020-05-28,US,114920.0
2020-05-29,US,116329.0
2020-05-30,US,117551.0
2020-05-31,US,118249.0
2020-06-01,US,121001.0
2020-06-02,US,122579.0
2020-06-03,US,124590.0
2020-06-04,US,121732.0
2020-06-05,US,123250.0
2020-06-06,US,124235.0
2020-06-07,US,124892.0
2020-06-08,US,125964.0
